candidate_id,rank,score,reasoning
CAND_0018499,1,0.9900,"Senior Machine Learning Engineer with 7.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Weaviate, Recommendation Systems, Pinecone, Information Retrieval, Milvus. Recent activity/response signals support recruiter reachability."
CAND_0046525,2,0.9462,"Senior Machine Learning Engineer with 6.1 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Elasticsearch, Machine Learning, LlamaIndex, Information Retrieval, TensorFlow. Recent activity/response signals support recruiter reachability."
CAND_0027691,3,0.8870,"NLP Engineer with 6.5 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, PEFT, Recommendation Systems, Weaviate, Embeddings. Recent activity/response signals support recruiter reachability."
CAND_0017960,4,0.8789,"Recommendation Systems Engineer with 7.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LlamaIndex, QLoRA, Hugging Face Transformers, Machine Learning, Haystack. Recent activity/response signals support recruiter reachability."
CAND_0081846,5,0.8668,"Lead AI Engineer with 6.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Information Retrieval, LlamaIndex, pgvector, Learning to Rank, Elasticsearch. Recent activity/response signals support recruiter reachability."
CAND_0039383,6,0.8557,"Applied ML Engineer with 7.1 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include FAISS, Kubeflow, Recommendation Systems, Hugging Face Transformers, QLoRA. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0011687,7,0.8535,"Senior NLP Engineer with 7.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include TensorFlow, OpenSearch, FAISS, PEFT, Embeddings. Recent activity/response signals support recruiter reachability."
CAND_0005260,8,0.8423,"Senior NLP Engineer with 5.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include MLOps, Information Retrieval, Semantic Search, Python, NLP. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0043228,9,0.8352,"Applied ML Engineer with 6.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include NLP, Hugging Face Transformers, Haystack, Machine Learning, Vector Search. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0050454,10,0.8221,"AI Engineer with 6.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include PyTorch, QLoRA, Fine-tuning LLMs, FAISS, Qdrant. Recent activity/response signals support recruiter reachability."
CAND_0091909,11,0.8214,"Machine Learning Engineer with 6.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LLMs, Pinecone, QLoRA, Qdrant, OpenSearch. Recent activity/response signals support recruiter reachability."
CAND_0041669,12,0.8151,"Recommendation Systems Engineer with 8.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include FAISS, Milvus, PEFT, MLflow, QLoRA. Recent activity/response signals support recruiter reachability."
CAND_0086022,13,0.8049,"Senior Applied Scientist with 5.3 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Vector Search, MLflow, Recommendation Systems, pgvector, Fine-tuning LLMs. Recent activity/response signals support recruiter reachability."
CAND_0098846,14,0.8039,"AI Engineer with 7.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Kubeflow, Hugging Face Transformers, PEFT, QLoRA, Machine Learning. Recent activity/response signals support recruiter reachability."
CAND_0064326,15,0.8006,"Search Engineer with 7.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include PyTorch, Milvus, Semantic Search, Weaviate, RAG. Recent activity/response signals support recruiter reachability."
CAND_0006418,16,0.7994,"Machine Learning Engineer with 5.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Semantic Search, Embeddings, TensorFlow, Weaviate, Elasticsearch. Recent activity/response signals support recruiter reachability."
CAND_0002025,17,0.7900,"Senior AI Engineer with 5.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include FAISS, TensorFlow, OpenSearch, Haystack, Weaviate. Recent activity/response signals support recruiter reachability."
CAND_0027801,18,0.7892,"NLP Engineer with 7.4 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include FAISS, Milvus, QLoRA, TensorFlow, OpenSearch. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0010257,19,0.7865,"Senior Data Scientist with 6.5 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Milvus, TensorFlow, MLflow, Python, OpenSearch. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0079387,20,0.7844,"AI Engineer with 6.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Recommendation Systems, Python, Sentence Transformers, Vector Search, OpenSearch. Recent activity/response signals support recruiter reachability."
CAND_0068811,21,0.7814,"Applied ML Engineer with 8.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Vector Search, Kubeflow, Qdrant, TensorFlow, Embeddings. Recent activity/response signals support recruiter reachability."
CAND_0077337,22,0.7797,"Staff Machine Learning Engineer with 7.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Semantic Search, QLoRA, pgvector, Pinecone, BM25. Recent activity/response signals support recruiter reachability."
